,deg,dist,dt,humidity,name,pressure,speed,temp,temp_max,temp_min
0,87,168.7039564872822,2019/11/06 00:00:06,73,Changzhou,1012,2.91,14.520000000000039,290.37,285.93
1,64,168.7039564872822,2019/11/06 01:00:09,72,Changzhou,1011,2.46,14.240000000000009,290.37,285.93
2,64,168.7039564872822,2019/11/06 02:00:04,75,Changzhou,1011,2.46,13.78000000000003,289.82,284.82
3,64,168.7039564872822,2019/11/06 03:00:08,79,Changzhou,1011,2.46,13.78000000000003,289.26,285.37
4,58,168.7039564872822,2019/11/06 04:00:03,80,Changzhou,1011,2.46,13.220000000000027,289.26,283.71
5,56,168.7039564872822,2019/11/06 05:00:04,82,Changzhou,1011,1.86,13.04000000000002,289.26,283.71
6,56,168.7039564872822,2019/11/06 06:00:02,84,Changzhou,1011,1.86,12.760000000000048,288.71,283.71
7,65,168.7039564872822,2019/11/06 07:00:04,72,Changzhou,1011,2.44,15.07000000000005,289.82,285.93
8,65,168.7039564872822,2019/11/06 08:00:09,69,Changzhou,1011,2.44,16.660000000000025,291.48,288.71
9,62,168.7039564872822,2019/11/06 09:00:09,60,Changzhou,1013,2.46,17.390000000000043,291.48,289.82
10,97,168.7039564872822,2019/11/06 10:00:09,50,Changzhou,1011,2.0,20.439999999999998,297.59,290.37
11,97,168.7039564872822,2019/11/06 11:00:04,45,Changzhou,1010,2.0,21.57000000000005,299.26,292.04
12,97,168.7039564872822,2019/11/06 12:00:08,40,Changzhou,1012,2.0,20.49000000000001,295.93,292.04
13,105,168.7039564872822,2019/11/06 12:55:30,51,Changzhou,1008,2.24,20.660000000000025,295.93,292.04
14,105,168.7039564872822,2019/11/06 14:00:10,45,Changzhou,1007,2.24,22.379999999999995,297.04,293.71
15,105,168.7039564872822,2019/11/06 14:58:49,49,Changzhou,1007,2.24,21.200000000000045,295.93,293.15
16,47,168.7039564872822,2019/11/06 16:00:09,49,Changzhou,1007,2.26,21.0,294.82,293.15
17,45,168.7039564872822,2019/11/06 17:00:03,51,Changzhou,1007,1.01,19.04000000000002,294.82,290.37
18,45,168.7039564872822,2019/11/06 18:00:10,53,Changzhou,1008,1.01,18.480000000000018,294.26,289.82
19,62,168.7039564872822,2019/11/06 19:00:04,53,Changzhou,1008,2.77,18.32000000000005,293.71,289.82
20,62,168.7039564872822,2019/11/06 20:00:04,54,Changzhou,1008,2.77,18.010000000000048,293.71,289.82
21,53,168.7039564872822,2019/11/06 21:00:03,63,Changzhou,1009,2.35,16.890000000000043,290.93,289.82
22,79,168.7039564872822,2019/11/06 22:00:10,69,Changzhou,1009,3.11,16.439999999999998,290.37,289.26
23,79,168.7039564872822,2019/11/06 22:59:20,72,Changzhou,1009,3.11,16.390000000000043,290.93,288.71
