,deg,dist,dt,humidity,name,pressure,speed,temp,temp_max,temp_min
0,31.0,153.94790364236886,2019/11/05 23:59:00,70,Hangzhou,1020,0.78,13.590000000000032,286.15,285.37
1,80.0,153.94790364236886,2019/11/06 00:49:36,71,Hangzhou,1019,2.0,13.730000000000018,287.15,284.82
2,70.0,153.94790364236886,2019/11/06 01:53:53,72,Hangzhou,1019,2.0,13.420000000000016,287.15,284.26
3,60.0,153.94790364236886,2019/11/06 03:00:03,73,Hangzhou,1019,1.0,13.0,286.15,284.26
4,,153.94790364236886,2019/11/06 03:54:20,77,Hangzhou,1019,1.0,12.510000000000048,285.15,284.26
5,343.0,153.94790364236886,2019/11/06 04:59:00,75,Hangzhou,1019,0.54,11.970000000000027,284.15,283.71
6,280.0,153.94790364236886,2019/11/06 05:55:08,76,Hangzhou,1019,1.0,11.450000000000045,284.15,283.15
7,48.0,153.94790364236886,2019/11/06 06:50:20,74,Hangzhou,1019,0.58,13.0,289.82,284.15
8,,153.94790364236886,2019/11/06 07:55:06,72,Hangzhou,1019,1.0,15.390000000000043,289.82,287.59
9,,153.94790364236886,2019/11/06 08:59:00,67,Hangzhou,1019,1.0,17.150000000000034,290.93,289.82
10,110.0,153.94790364236886,2019/11/06 10:00:04,63,Hangzhou,1019,2.0,17.660000000000025,291.48,289.82
11,,153.94790364236886,2019/11/06 11:00:04,59,Hangzhou,1018,1.0,19.110000000000014,294.26,290.37
12,,153.94790364236886,2019/11/06 11:50:50,56,Hangzhou,1018,2.0,19.230000000000018,293.71,290.37
13,,153.94790364236886,2019/11/06 12:55:16,52,Hangzhou,1017,2.0,21.370000000000005,294.82,294.15
14,,153.94790364236886,2019/11/06 13:51:15,41,Hangzhou,1016,2.0,20.120000000000005,294.82,290.93
15,60.0,153.94790364236886,2019/11/06 14:57:05,49,Hangzhou,1015,3.0,20.420000000000016,295.15,290.93
16,90.0,153.94790364236886,2019/11/06 15:51:47,52,Hangzhou,1015,3.0,19.920000000000016,294.26,290.93
17,100.0,153.94790364236886,2019/11/06 16:58:56,63,Hangzhou,1015,4.0,18.920000000000016,293.15,290.93
18,110.0,153.94790364236886,2019/11/06 17:59:46,68,Hangzhou,1015,2.0,17.879999999999995,291.15,290.93
19,120.0,153.94790364236886,2019/11/06 18:56:47,68,Hangzhou,1016,2.0,18.420000000000016,292.04,291.15
20,110.0,153.94790364236886,2019/11/06 19:56:37,68,Hangzhou,1016,2.0,18.420000000000016,292.04,291.15
21,100.0,153.94790364236886,2019/11/06 21:00:06,59,Hangzhou,1016,2.0,18.04000000000002,291.48,290.93
22,,153.94790364236886,2019/11/06 21:56:03,68,Hangzhou,1017,1.0,18.04000000000002,291.48,290.93
23,110.0,153.94790364236886,2019/11/06 22:56:50,72,Hangzhou,1017,2.0,17.850000000000023,291.48,290.37
