,deg,dist,dt,humidity,name,pressure,speed,temp,temp_max,temp_min
0,61.0,83.43676642579854,2019/11/06 00:00:06,72,Jiaxing,1020,5.13,13.420000000000016,287.04,286.15
1,80.0,83.43676642579854,2019/11/06 00:59:37,72,Jiaxing,1019,2.0,13.950000000000045,287.15,287.04
2,70.0,83.43676642579854,2019/11/06 02:00:05,73,Jiaxing,1019,2.0,13.950000000000045,287.15,287.04
3,60.0,83.43676642579854,2019/11/06 03:00:05,76,Jiaxing,1019,1.0,13.160000000000025,286.48,286.15
4,,83.43676642579854,2019/11/06 04:00:05,77,Jiaxing,1019,1.0,13.370000000000005,285.93,285.15
5,29.0,83.43676642579854,2019/11/06 05:00:07,85,Jiaxing,1019,3.56,13.100000000000023,286.48,284.15
6,280.0,83.43676642579854,2019/11/06 06:00:06,86,Jiaxing,1019,1.0,11.840000000000032,285.93,284.15
7,35.0,83.43676642579854,2019/11/06 07:00:06,86,Jiaxing,1019,3.47,15.520000000000039,290.93,284.15
8,,83.43676642579854,2019/11/06 08:00:06,77,Jiaxing,1019,1.0,16.310000000000002,290.37,288.15
9,,83.43676642579854,2019/11/06 09:00:06,67,Jiaxing,1019,1.0,17.670000000000016,292.59,289.82
10,110.0,83.43676642579854,2019/11/06 10:00:06,63,Jiaxing,1019,2.0,19.08000000000004,295.93,289.82
11,,83.43676642579854,2019/11/06 11:00:05,59,Jiaxing,1018,1.0,18.03000000000003,292.15,290.37
12,,83.43676642579854,2019/11/06 12:00:05,56,Jiaxing,1018,2.0,19.49000000000001,293.15,290.37
13,,83.43676642579854,2019/11/06 13:00:05,52,Jiaxing,1017,2.0,21.0,294.15,294.15
14,,83.43676642579854,2019/11/06 14:00:06,49,Jiaxing,1016,2.0,21.25,294.15,290.93
15,60.0,83.43676642579854,2019/11/06 15:00:06,49,Jiaxing,1015,3.0,19.710000000000036,295.15,290.93
16,90.0,83.43676642579854,2019/11/06 16:00:05,52,Jiaxing,1015,3.0,19.25,294.15,290.93
17,100.0,83.43676642579854,2019/11/06 16:55:07,63,Jiaxing,1015,4.0,19.200000000000045,294.26,290.93
18,110.0,83.43676642579854,2019/11/06 18:00:06,68,Jiaxing,1015,2.0,18.55000000000001,293.15,290.93
19,120.0,83.43676642579854,2019/11/06 19:00:07,68,Jiaxing,1016,2.0,18.74000000000001,293.15,291.15
20,110.0,83.43676642579854,2019/11/06 20:00:07,68,Jiaxing,1016,2.0,18.57000000000005,292.59,291.15
21,100.0,83.43676642579854,2019/11/06 21:00:08,59,Jiaxing,1016,2.0,19.210000000000036,294.82,291.15
22,,83.43676642579854,2019/11/06 22:00:05,68,Jiaxing,1017,1.0,18.930000000000007,294.82,290.93
23,110.0,83.43676642579854,2019/11/06 22:55:12,72,Jiaxing,1017,2.0,19.08000000000004,294.82,291.15
