,deg,dist,dt,humidity,name,pressure,speed,temp,temp_max,temp_min
0,50.0,0.0,2019/11/05 23:50:49,79,Shanghai,1020,2.0,15.140000000000043,289.26,286.15
1,10.0,0.0,2019/11/06 00:55:16,80,Shanghai,1019,1.0,15.490000000000009,289.82,287.15
2,360.0,0.0,2019/11/06 01:59:17,81,Shanghai,1019,3.0,14.810000000000002,289.15,286.15
3,360.0,0.0,2019/11/06 02:49:51,81,Shanghai,1019,3.0,14.450000000000045,289.82,285.15
4,360.0,0.0,2019/11/06 03:52:20,82,Shanghai,1018,4.0,15.0,288.71,287.59
5,350.0,0.0,2019/11/06 04:50:39,90,Shanghai,1018,2.0,14.490000000000009,288.15,286.15
6,340.0,0.0,2019/11/06 05:52:30,89,Shanghai,1018,2.0,13.850000000000023,288.15,285.15
7,45.0,0.0,2019/11/06 06:56:57,94,Shanghai,1019,1.69,16.439999999999998,294.82,285.15
8,10.0,0.0,2019/11/06 07:59:06,77,Shanghai,1019,1.0,16.200000000000045,290.93,288.15
9,30.0,0.0,2019/11/06 08:55:03,63,Shanghai,1019,3.0,17.410000000000025,291.15,290.15
10,60.0,0.0,2019/11/06 09:51:20,55,Shanghai,1019,3.0,22.04000000000002,300.93,291.48
11,,0.0,2019/11/06 10:51:20,55,Shanghai,1018,2.0,19.29000000000002,293.15,292.04
12,,0.0,2019/11/06 11:54:54,54,Shanghai,1017,2.0,20.129999999999995,294.15,292.59
13,,0.0,2019/11/06 12:56:03,55,Shanghai,1016,2.0,20.840000000000032,294.15,293.71
14,,0.0,2019/11/06 13:58:09,53,Shanghai,1015,1.0,20.510000000000048,294.15,293.15
15,,0.0,2019/11/06 14:57:38,59,Shanghai,1015,1.0,20.939999999999998,295.93,293.15
16,,0.0,2019/11/06 15:55:30,54,Shanghai,1015,1.0,20.670000000000016,295.93,292.04
17,50.0,0.0,2019/11/06 16:55:54,54,Shanghai,1015,3.0,19.32000000000005,293.15,291.48
18,100.0,0.0,2019/11/06 17:52:35,55,Shanghai,1016,4.0,18.700000000000045,292.59,290.93
19,120.0,0.0,2019/11/06 18:58:42,59,Shanghai,1016,3.0,18.410000000000025,292.15,290.93
20,90.0,0.0,2019/11/06 19:55:07,59,Shanghai,1016,3.0,18.120000000000005,292.15,290.93
21,110.0,0.0,2019/11/06 20:56:07,59,Shanghai,1017,3.0,18.04000000000002,292.15,290.37
22,110.0,0.0,2019/11/06 21:58:18,59,Shanghai,1017,2.0,18.370000000000005,292.15,290.37
23,120.0,0.0,2019/11/06 22:57:44,70,Shanghai,1017,2.0,18.060000000000002,292.15,289.82
