,deg,dist,dt,humidity,name,pressure,speed,temp,temp_max,temp_min
0,50.0,93.54614971233205,2019/11/05 23:58:54,63,Suzhou,1020,2.0,15.050000000000011,290.37,285.93
1,10.0,93.54614971233205,2019/11/06 00:58:33,71,Suzhou,1019,1.0,14.920000000000016,290.37,285.93
2,360.0,93.54614971233205,2019/11/06 01:58:33,76,Suzhou,1019,3.0,14.020000000000039,289.82,284.82
3,360.0,93.54614971233205,2019/11/06 02:59:24,76,Suzhou,1018,3.0,14.480000000000018,289.82,285.93
4,360.0,93.54614971233205,2019/11/06 04:00:02,81,Suzhou,1018,3.0,13.379999999999995,289.26,284.82
5,350.0,93.54614971233205,2019/11/06 04:58:33,76,Suzhou,1018,2.0,13.460000000000036,289.26,283.71
6,340.0,93.54614971233205,2019/11/06 05:57:21,81,Suzhou,1018,2.0,12.939999999999998,288.71,283.71
7,66.0,93.54614971233205,2019/11/06 06:58:59,87,Suzhou,1019,1.95,14.830000000000041,294.82,285.15
8,10.0,93.54614971233205,2019/11/06 07:58:33,77,Suzhou,1019,1.0,16.52000000000004,291.48,288.15
9,30.0,93.54614971233205,2019/11/06 08:58:11,63,Suzhou,1019,3.0,17.32000000000005,291.48,289.82
10,60.0,93.54614971233205,2019/11/06 09:58:37,55,Suzhou,1019,3.0,19.75,302.04,292.04
11,,93.54614971233205,2019/11/06 10:59:46,55,Suzhou,1018,2.0,20.29000000000002,295.93,292.04
12,,93.54614971233205,2019/11/06 11:58:13,52,Suzhou,1017,2.0,20.900000000000034,295.93,293.15
13,,93.54614971233205,2019/11/06 12:58:32,49,Suzhou,1016,2.0,21.220000000000027,295.93,293.15
14,,93.54614971233205,2019/11/06 13:58:42,43,Suzhou,1015,1.0,21.860000000000014,295.93,293.71
15,,93.54614971233205,2019/11/06 15:00:03,43,Suzhou,1015,1.0,21.340000000000032,295.93,293.15
16,,93.54614971233205,2019/11/06 15:58:50,46,Suzhou,1015,1.0,21.420000000000016,295.93,293.15
17,50.0,93.54614971233205,2019/11/06 16:58:32,52,Suzhou,1015,3.0,20.180000000000007,294.82,292.04
18,100.0,93.54614971233205,2019/11/06 17:58:58,55,Suzhou,1016,4.0,19.620000000000005,294.82,290.93
19,120.0,93.54614971233205,2019/11/06 18:58:27,59,Suzhou,1016,3.0,19.090000000000032,293.71,290.93
20,90.0,93.54614971233205,2019/11/06 20:00:02,59,Suzhou,1016,3.0,18.720000000000027,293.71,289.82
21,110.0,93.54614971233205,2019/11/06 20:56:16,59,Suzhou,1017,3.0,18.340000000000032,293.71,289.82
22,110.0,93.54614971233205,2019/11/06 22:00:01,59,Suzhou,1017,2.0,17.53000000000003,292.15,289.26
23,120.0,93.54614971233205,2019/11/06 22:58:32,63,Suzhou,1017,2.0,17.629999999999995,292.59,288.71
