,deg,dist,dt,gust,humidity,name,pressure,speed,temp,temp_max,temp_min
0,85,186.80356103447897,2019/11/05 23:57:24,,79,Taizhou,1018,2.01,13.890000000000043,287.04,287.04
1,53,186.80356103447897,2019/11/06 01:00:08,,84,Taizhou,1018,1.78,13.060000000000002,286.48,285.93
2,53,186.80356103447897,2019/11/06 02:00:07,,86,Taizhou,1017,1.78,12.78000000000003,286.48,285.37
3,53,186.80356103447897,2019/11/06 02:55:59,,85,Taizhou,1017,1.78,12.78000000000003,286.48,285.37
4,56,186.80356103447897,2019/11/06 04:00:07,,84,Taizhou,1017,1.4,12.510000000000048,286.48,284.82
5,56,186.80356103447897,2019/11/06 05:00:10,,84,Taizhou,1017,1.4,11.960000000000036,285.93,284.26
6,56,186.80356103447897,2019/11/06 06:00:08,,85,Taizhou,1016,1.4,11.960000000000036,285.93,284.26
7,61,186.80356103447897,2019/11/06 07:00:08,,77,Taizhou,1019,1.74,12.710000000000036,287.59,284.26
8,61,186.80356103447897,2019/11/06 08:00:08,,73,Taizhou,1019,1.74,15.900000000000034,289.82,288.15
9,90,186.80356103447897,2019/11/06 09:00:08,1.34,74,Taizhou,1017,0.45,16.670000000000016,290.37,289.26
10,180,186.80356103447897,2019/11/06 10:00:08,1.34,56,Taizhou,1018,0.45,18.629999999999995,293.71,290.37
11,180,186.80356103447897,2019/11/06 10:56:15,1.79,52,Taizhou,1018,0.45,20.54000000000002,294.26,293.15
12,120,186.80356103447897,2019/11/06 11:56:11,,53,Taizhou,1015,2.28,19.150000000000034,293.15,291.48
13,135,186.80356103447897,2019/11/06 13:00:07,1.79,57,Taizhou,1014,0.45,19.720000000000027,293.15,292.59
14,87,186.80356103447897,2019/11/06 13:56:13,,37,Taizhou,1015,2.37,21.99000000000001,296.48,293.71
15,45,186.80356103447897,2019/11/06 14:56:14,1.34,51,Taizhou,1014,0.45,19.99000000000001,293.71,292.59
16,59,186.80356103447897,2019/11/06 16:00:08,,54,Taizhou,1013,1.19,18.33000000000004,292.04,290.93
17,59,186.80356103447897,2019/11/06 16:56:14,,59,Taizhou,1014,1.19,17.77000000000004,291.48,290.37
18,59,186.80356103447897,2019/11/06 18:00:09,,65,Taizhou,1014,1.19,16.670000000000016,289.82,289.82
19,91,186.80356103447897,2019/11/06 18:56:13,,65,Taizhou,1015,3.54,16.670000000000016,289.82,289.82
20,91,186.80356103447897,2019/11/06 20:00:09,,67,Taizhou,1015,3.54,16.390000000000043,289.82,289.26
21,91,186.80356103447897,2019/11/06 20:57:48,,67,Taizhou,1015,3.54,16.390000000000043,289.82,289.26
22,88,186.80356103447897,2019/11/06 22:00:09,,72,Taizhou,1015,2.36,16.110000000000014,289.26,289.26
23,88,186.80356103447897,2019/11/06 22:57:39,,74,Taizhou,1015,2.36,15.560000000000002,288.71,288.71
