,media_id,favorites,coins,views,danmakus,media_tags,score,cm_count
0,6312,3558734,431229,82208552,2133541,"['恋爱', '校园', '漫画改', '搞笑', '日常', '声控']",9.6,22235.0
1,102792,3838468,482165,87398650,2695540,"['恋爱', '推理', '游戏改', '冒险']",9.6,42162.0
2,6446,3911659,452858,102659185,3190601,"['萌系', '搞笑', '日常', '漫画改']",9.4,29521.0
3,8792,3954400,635263,193861261,2922407,"['小说改', '奇幻', '战斗', '魔法', '架空', '穿越']",9.6,58505.0
4,130412,3976659,960553,131914751,2567173,"['小说改', '热血', '奇幻', '战斗', '励志', '架空', '穿越', '冒险']",8.3,72987.0
5,102252,4046540,818875,200157550,2840398,"['小说改', '奇幻', '智斗', '战斗', '魔法', '架空', '穿越']",9.3,60520.0
6,134932,4055527,1040155,92863971,2113015,"['小说改', '恋爱', '奇幻', '校园']",9.8,88706.0
7,3450,4369228,538164,161890320,2701845,"['搞笑', '校园', '日常']",9.1,17392.0
8,5267730,4432804,1036674,126530711,2872775,"['恋爱', '校园', '智斗', '日常', '漫画改', '搞笑']",9.8,159389.0
9,3461,4545317,767423,181035660,10464988,"['奇幻', '战斗', '励志', '小说改', '架空', '穿越']",9.1,26394.0
10,8892,4630254,798345,72519663,2317711,"['小说改', '奇幻', '治愈', '架空']",9.7,127382.0
11,28222723,415949,149896,22568047,266617,"['小说改', '穿越', '科幻', '架空', '冒险', '战斗']",9.2,13963.0
12,139252,4958340,1171601,208738002,3232197,"['小说改', '奇幻', '战斗', '魔法', '架空', '穿越', '冒险']",9.4,67068.0
13,28222734,781243,132548,20714262,244230,"['漫画改', '热血', '战斗', '奇幻', '校园']",9.3,11114.0
14,5997,5017344,575002,130750635,6898164,"['小说改', '搞笑', '恋爱']",9.0,31068.0
15,7452,2825273,162315,57177734,1609266,"['热血', '战斗', '架空']",9.6,27700.0
16,135652,2856476,817928,202581923,2264497,"['热血', '智斗', '战斗', '漫画改', '冒险']",9.8,173354.0
17,5998,2859629,201378,69821777,2299740,"['科幻', '奇幻', '原创', '穿越']",8.5,17639.0
18,78552,2871608,453421,136335677,2516751,"['热血', '战斗', '励志', '漫画改', '架空']",9.7,65300.0
19,835,2913590,274453,29515759,2019108,"['日常', '治愈', '催泪', '原创']",9.5,16955.0
20,1586,2978175,221287,117824670,4691753,"['奇幻', '热血']",9.3,11465.0
21,4316382,2980328,457578,71500424,1711930,"['恋爱', '校园', '日常', '漫画改']",8.7,38672.0
22,425,2994053,371881,51291444,4210171,"['校园', '战斗', '奇幻', '漫画改']",9.6,13995.0
23,3398,3169519,218104,43053711,1962221,"['恋爱', '推理', '校园', '日常', '社团']",9.8,29010.0
24,28222061,1791114,243074,26942430,435046,"['游戏改', '奇幻', '战斗', '冒险', '声控', '穿越']",9.7,14321.0
25,4316482,3224821,840210,153901397,2687987,"['小说改', '奇幻', '魔法', '架空', '穿越', '冒险']",7.2,202745.0
26,1699,3233584,359188,94524828,3795105,"['少女', '音乐', '催泪', '恋爱']",9.7,23646.0
27,5550,2267213,245863,42675044,1467316,"['治愈', '催泪', '神魔', '漫画改']",9.6,4467.0
28,1588,2282044,125291,36349112,2499252,"['奇幻', '战斗', '热血', '原创', '架空']",8.7,14291.0
29,78352,2308299,237234,62859097,827192,"['搞笑', '日常', '漫画改']",9.6,29860.0
30,28221390,2315886,232127,73674227,1203298,"['小说改', '奇幻', '战斗', '冒险', '架空', '穿越']",5.5,189402.0
31,5058,2320019,159004,73811641,1160667,"['热血', '奇幻', '战斗']",9.7,14320.0
32,5267750,2329506,297527,41488620,555803,"['热血', '智斗', '励志', '漫画改']",9.8,48799.0
33,8772,2389199,126228,36069890,794405,"['奇幻', '战斗', '游戏改']",8.8,35273.0
34,1650,2393308,114841,54684259,2940615,"['时泪', '奇幻', '战斗', '热血', '声控']",9.5,10080.0
35,3365,2398718,102164,23364549,1125823,"['恋爱', '奇幻', '战斗']",9.4,10032.0
36,8932,2440105,196856,57625320,2211878,"['小说改', '职场']",9.0,19265.0
37,33512,2458260,292089,49190104,881117,"['日常', '美食']",9.8,40665.0
38,6440,2461624,167835,46298362,1240035,"['小说改', '恋爱']",9.2,22143.0
39,134912,2493527,431046,63334961,1040263,"['小说改', '热血', '科幻', '奇幻', '校园', '战斗', '魔法']",7.7,41948.0
40,1512,2512809,184345,76690234,2237746,"['恋爱', '小说改']",9.3,12229.0
41,2572,2521749,211095,78015424,1455218,"['奇幻', '日常', '校园', '战斗', '穿越']",9.3,18643.0
42,6434,2529403,154320,50236823,1257992,"['战斗', '漫画改', '架空', '励志', '催泪']",9.8,47670.0
43,5017,1969500,176019,71282553,1680908,"['热血', '美食']",9.3,4318.0
44,1552,2001895,306534,40990327,1867470,"['科幻', '日常', '少女', '催泪']",9.6,11597.0
45,5793,2008633,164550,48904444,1517666,"['日常', '漫画改', '神魔']",9.5,9284.0
46,4340,2011987,202785,27319250,2319793,['恋爱'],9.6,10067.0
