,position,salary,company_name,city,experience,education,welfare,company_type,company_scale,company_major,_id
0,高级应用软件开发工程师（java）,1.5-2万/月,杭州海康威视数字技术股份有限公司,南京,无工作经验,招4人,,上市公司,10000人以上,通信/电信/网络设备,5dc8e2615955fa04c54b9674
1,Java开发工程师,1-1.5万/月,中软国际科技服务有限公司,深圳-南山区,2年经验,大专,,合资,10000人以上,计算机软件,5dc8e2625955fa04c54b9675
2,Java开发工程师,1.2-1.5万/月,神州数码通用软件（北京）有限公司,上海,3-4年经验,本科,"五险一金,带薪年假,定期体检,定期团建",外资（非欧美）,500-1000人,计算机软件,5dc8e2635955fa04c54b9676
3,Java中级开发工程师,0.8-1.6万/月,苏州玩友时代科技股份有限公司,苏州-工业园区,无工作经验,招2人,"五险一金,年终奖金,绩效奖金,专业培训,定期体检,弹性工作",民营公司,1000-5000人,网络游戏,5dc8e2645955fa04c54b9677
4,Java开发工程师,0.8-1万/月,深圳市库袋科技有限公司,深圳-南山区,无工作经验,大专,"做五休二,带薪年假,包住宿,五险一金,绩效奖金",民营公司,50-150人,计算机软件,5dc8e2655955fa04c54b9678
5,Java中级工程师,6-8千/月,山西联康科技有限公司,太原,1年经验,大专,"专业培训,节日福利,绩效奖金,餐饮补贴,交通补贴,五险一金",民营公司,50-150人,计算机软件,5dc8e2665955fa04c54b9679
6,Java开发工程师,20-30万/年,江西金融登记结算中心有限公司,深圳-南山区,3-4年经验,大专,"周末双休,五险一金,绩效奖金,全勤奖,专业培训,交通补贴,餐饮补贴,通讯补贴,节日福利",民营公司,50-150人,金融/投资/证券,5dc8e2675955fa04c54b967a
7,高级Java开发工程师,1.5-2万/月,药房网商城,上海-浦东新区,3-4年经验,本科,"五险一金,免费班车,绩效奖金,年终奖金,股票期权,员工旅游,出国机会",民营公司,50-150人,互联网/电子商务,5dc8e2685955fa04c54b967b
8,java初级开发（双休）,4.5-6千/月,广州天朝文化传播有限公司,广州-海珠区,无工作经验,招2人,"五险一金,补充医疗保险,员工旅游,绩效奖金,年终奖金,定期体检",民营公司,50-150人,互联网/电子商务,5dc8e26a5955fa04c54b967c
9,中高级软件开发工程师（JAVA） (职位编号：009),0.7-1.5万/月,中水三立数据技术股份有限公司（原合肥三立自动化工程有限公司）,合肥,3-4年经验,本科,"五险一金,员工旅游,绩效奖金,年终奖金,定期体检,餐饮补贴,专业培训",上市公司,150-500人,电气/电力/水利,5dc8e26b5955fa04c54b967d
10,Java开发经理（周末双休+项目奖金）,1-1.2万/月,广州悦云信息科技有限公司,广州-越秀区,5-7年经验,大专,"周末双休,五险一金,带薪年假,发展空间,绩效奖金,员工生日,节日福利,员工旅游",民营公司,50-150人,计算机软件,5dc8e26c5955fa04c54b967e
11,Java高级开发工程师,1-1.5万/月,广州世安信息技术股份有限公司,广州-天河区,3-4年经验,本科,"五险一金,周末双休,年终奖金,交通补贴,通讯补贴,员工旅游,补充医疗保险",民营公司,50-150人,计算机服务(系统、数据服务、维修),5dc8e26d5955fa04c54b967f
12,java服务端开发工程师,0.7-2万/月,浙江通通科技有限公司,杭州,2年经验,大专,"五险一金,弹性工作,交通补贴,餐饮补贴,周末双休,年终奖金,员工旅游",民营公司,50-150人,互联网/电子商务,5dc8e26e5955fa04c54b9680
13,JAVA（高级）,1.1-1.4万/月,纬创软件（武汉）有限公司,武汉,无工作经验,招3人,"五险一金,专业培训,出国机会,绩效奖金,年终奖金,定期体检",民营公司,500-1000人,计算机软件,5dc8e26f5955fa04c54b9681
14,Java后台开发工程师,2-2.5万/月,上海茵实企业管理咨询有限公司,上海-静安区,3-4年经验,本科,,国企,50-150人,计算机服务(系统、数据服务、维修),5dc8e2705955fa04c54b9682
15,JAVA高级工程师（广州）,1.5-1.8万/月,天津科莱迪尔信息科技有限公司,广州-越秀区,3-4年经验,本科,,民营公司,1000-5000人,通信/电信/网络设备,5dc8e2725955fa04c54b9683
16,资深Java开发,1.3-2万/月,上海吾创信息科技有限公司,上海-浦东新区,5-7年经验,大专,"五险一金,员工旅游,年终奖金,餐饮补贴",民营公司,50-150人,计算机软件,5dc8e2735955fa04c54b9684
17,JAVA 研发工程师（2-3年）,0.8-1.2万/月,济南瀚盟网络技术有限公司,济南,3-4年经验,本科,"五险一金,绩效奖金,公司重点项目",事业单位,50-150人,计算机软件,5dc8e2745955fa04c54b9685
18,Java高级开发工程师（资管方向）,40-50万/年,中银基金管理有限公司,上海,无工作经验,本科,,合资,150-500人,金融/投资/证券,5dc8e2755955fa04c54b9686
19,Java开发/软件开发助理工程师,3-4.5千/月,厦门智汇祥盈科技有限公司,厦门,无工作经验,大专,"五险一金,绩效奖金,餐饮补贴,年终奖金,周末双休",民营公司,50-150人,计算机软件,5dc8e2765955fa04c54b9687
20,java开发,1-1.5万/月,江苏梦立渊软件技术有限公司,南京-玄武区,3-4年经验,大专,"五险一金,专业培训,包吃包住,带薪年假,节日福利",民营公司,50-150人,计算机软件,5dc8e2775955fa04c54b9688
21,软件编程（Java/web）计算机开发实习生,4.5-6千/月,合肥优创云软件科技有限公司,合肥-蜀山区,无工作经验,大专,,民营公司,500-1000人,计算机软件,5dc8e2785955fa04c54b9689
22,JAVA高级开发工程师（架构师）,1.4-1.8万/月,杭州吉时语科技有限公司,杭州-余杭区,5-7年经验,本科,"五险一金,绩效奖金,股票期权,弹性工作,员工旅游,周末双休,节日福利,餐饮补贴",民营公司,50-150人,电子技术/半导体/集成电路,5dc8e27a5955fa04c54b968a
23,资深Java工程师-基础服务,2-3.5万/月,挚享科技（上海）有限公司,上海-长宁区,3-4年经验,本科,"五险一金,专业培训,弹性工作,绩效奖金",外资（欧美）,500-1000人,互联网/电子商务,5dc8e27b5955fa04c54b968b
24,JAVA工程师,0.8-1万/月,优摩登软件开发（深圳）有限公司,深圳,2年经验,大专,"五险一金,员工旅游,周六双休,带薪年假",外资（非欧美）,50-150人,计算机软件,5dc8e27c5955fa04c54b968c
25,Java开发工程师,0.8-1.2万/月,深圳市北海轨道交通技术有限公司,深圳-南山区,3-4年经验,大专,"五险一金,补充医疗保险,年终奖金,员工旅游,定期体检",民营公司,50-150人,通信/电信/网络设备,5dc8e27d5955fa04c54b968d
26,Java开发工程师,0.8-1.5万/月,卓豪（北京）技术有限公司,北京-海淀区,1年经验,本科,"五险一金,补充医疗保险,员工旅游,交通补贴,餐饮补贴,通讯补贴,年终奖金,绩效奖金",外资（欧美）,5000-10000人,计算机软件,5dc8e27e5955fa04c54b968e
27,Java高级工程师 (职位编号：LXRJ012),1.3-2万/月,深圳联信软件科技有限公司,广州-越秀区,5-7年经验,大专,"五险一金,年终奖金",民营公司,50-150人,计算机软件,5dc8e2805955fa04c54b968f
28,JAVA开发工程师,1-2万/月,广州惠侨计算机科技有限公司,荆门,无工作经验,招2人,,上市公司,150-500人,计算机软件,5dc8e2815955fa04c54b9690
29,高级JAVA软件工程师,1.5-2.5万/月,上海砺羽网络科技有限公司,上海,5-7年经验,本科,,民营公司,少于50人,计算机软件,5dc8e2825955fa04c54b9691
30,资深JAVA研发工程师,2.5-4万/月,杭州达西信息技术有限公司,杭州-滨江区,5-7年经验,本科,"高提成,带薪年假,五险一金,绩效奖金,节日福利,专业培训,餐饮补贴,团建活动,法定假日",民营公司,50-150人,互联网/电子商务,5dc8e2835955fa04c54b9692
31,Java高级工程师-本部,1.5-2万/月,江苏润和软件股份有限公司,南京-雨花台区,5-7年经验,本科,"五险一金,餐饮补贴,年终奖金,弹性工作,定期体检,周末双休,股票期权,带薪年假,绩效奖金,免费班车",民营公司,5000-10000人,计算机软件,5dc8e2845955fa04c54b9693
32,Java开发工程师,1.5-2.5万/月,上海安逸网络科技有限公司,上海-浦东新区,无工作经验,招1人,"做五休二,周末双休,节日福利,全勤奖,绩效奖金",民营公司,150-500人,保险,5dc8e2855955fa04c54b9694
33,高级Java/android研发工程师,1-2万/月,深圳震有科技股份有限公司,深圳,2年经验,本科,"五险一金,补充医疗保险,员工旅游,绩效奖金,年终奖金,弹性工作,定期体检",民营公司,150-500人,通信/电信/网络设备,5dc8e2865955fa04c54b9695
34,中级JAVA,0.9-1.3万/月,华杰工程咨询有限公司中南分公司,武汉-�~口区,5-7年经验,本科,"五险一金,补充医疗保险,通讯补贴,专业培训,年终奖金,定期体检,商业保险,公积金12%,工作服,生日补助",合资,50-150人,计算机软件,5dc8e2875955fa04c54b9696
