position,salary,company_name,city,experience,education,company_type,company_scale
Java开发工程师,0.6-1万/月,深圳市鼎新软件科技有限公司,深圳-南山区,无工作经验,大专,民营公司,少于50人
Java开发工程师,1-1.5万/月,常州市常居房地产营销策划有限公司,常州-新北区,1年经验,本科,外资（欧美）,1000-5000人
Java开发工程师 (职位编号：0001),6-8千/月,广州领易信息科技有限公司,广州-黄埔区,无工作经验,招3人,民营公司,少于50人
java软件开发工程师,1-1.5万/月,江苏昆特气象服务有限公司,南京-玄武区,3-4年经验,大专,民营公司,50-150人
中级JAVA开发工程师,1-1.5万/月,深圳市同和信息技术有限公司,深圳-南山区,5-7年经验,大专,民营公司,500-1000人
Java高级开发工程师,25-45万/年,杭州广立微电子有限公司,杭州,3-4年经验,本科,民营公司,50-150人
对日java/C#工程师（杭州滨江）,0.8-1万/月,杭州集效科技有限公司,杭州-滨江区,2年经验,大专,合资,50-150人
java开发（分布式开发） (职位编号：ns014),0.6-1.2万/月,广州市网畅信息技术有限公司,广州-天河区,2年经验,本科,民营公司,少于50人
JAVA开发实习生,2-3千/月,成都易设界科技有限公司,成都,无工作经验,高中,民营公司,少于50人
Java开发工程师,0.6-1万/月,中国电子系统工程第二建设有限公司,无锡,无工作经验,招5人,国企,1000-5000人
Java高级开发工程师,1.5-2万/月,广东嘉盛达科技有限公司,佛山,5-7年经验,大专,民营公司,少于50人
技术总监（Java）,2.5-4万/月,广州链课教育科技有限公司,广州-黄埔区,无工作经验,本科,民营公司,少于50人
Java服务端开发工程师,1.5-3万/月,中电太极（集团）有限公司,北京-海淀区,3-4年经验,本科,国企,5000-10000人
Java 架构师,2.5-3万/月,上海意利信息科技股份有限公司,上海-浦东新区,5-7年经验,本科,民营公司,50-150人
java开发工程师3,6-8千/月,深圳神木源科技有限公司,深圳-福田区,1年经验,大专,民营公司,150-500人
Java开发工程师,0.8-1.2万/月,国信数道信息科技有限公司,昆明-西山区,2年经验,本科,民营公司,150-500人
Java中级开发工程师,0.5-1万/月,吉鼎（厦门）科技有限公司,厦门,3-4年经验,本科,民营公司,50-150人
java开发工程师（双休+奖金）,4.5-8千/月,成都启锋科技有限公司,深圳-南山区,无工作经验,大专,民营公司,150-500人
Java开发工程师,5-7千/月,上海天源迪科信息技术有限公司,成都-青羊区,2年经验,本科,民营公司,50-150人
Java开发工程师,0.8-1.5万/月,卓豪（北京）技术有限公司,北京-海淀区,1年经验,本科,外资（欧美）,5000-10000人
大数据+Java开发实习生l,4.5-6千/月,河北臻龙科技有限公司,石家庄,无工作经验,招3人,民营公司,150-500人
Java高级开发工程师,1.5-2万/月,上海弗利信息技术有限公司,上海-浦东新区,3-4年经验,本科,民营公司,50-150人
Java实习生（2020年毕业）（金融04）,3-5千/月,上海复深蓝软件股份有限公司,上海-普陀区,无工作经验,本科,上市公司,1000-5000人
Java开发工程师,1-1.5万/月,浙江浪淘电子商务有限公司,义乌,1年经验,大专,民营公司,50-150人
Java开发工程师 (职位编号：20191124),3-6千/月,北京阳光大桥网络科技有限公司石家庄分公司,石家庄,1年经验,大专,合资,少于50人
JAVA讲师,1-1.5万/月,东莞市软舰职业培训学校,东莞,1年经验,大专,民营公司,50-150人
Java中级开发工程师(上海）,1-1.5万/月,深圳楚星软件有限公司,上海-徐汇区,3-4年经验,大专,民营公司,少于50人
Java,1.5-2.5万/月,美德医（北京）医疗技术服务有限公司,北京,5-7年经验,本科,外资（欧美）,50-150人
Java高级开发工程师,1.2-1.8万/月,北京仁和汇智信息技术有限公司,北京-昌平区,3-4年经验,本科,民营公司,50-150人
Java架构师,2-3万/月,深圳前海尼欧思维网络科技有限公司,深圳-南山区,5-7年经验,本科,民营公司,少于50人
Java资深开发工程师,2-4万/月,武汉楚见科技有限责任公司,武汉-洪山区,5-7年经验,中专,民营公司,50-150人
java开发程序员,4.5-6千/月,大连东软睿创科技发展有限公司,大连,无工作经验,大专,民营公司,150-500人
Java开发工程师（杭州）,0.8-1万/月,和致众成（北京）科技有限公司,杭州-滨江区,3-4年经验,本科,民营公司,50-150人
JAVA开发工程师,5-8千/月,江西风尚电视购物股份有限公司,南昌,无工作经验,本科,国企,500-1000人
Java开发经理(物联网方向),1.5-2万/月,江苏踏歌出行信息科技有限公司,苏州-工业园区,5-7年经验,本科,民营公司,50-150人
Java开发工程师,0.6-1.2万/月,南京释加软件科技有限公司,南京-鼓楼区,1年经验,本科,民营公司,少于50人
Java中级开发工程师,1-1.5万/月,上海尤恩信息技术有限公司,上海-徐汇区,3-4年经验,本科,民营公司,50-150人
中高级Java开发工程师,1.1-1.8万/月,卡莱特(深圳)云科技有限公司,深圳-南山区,1年经验,本科,民营公司,150-500人
Java开发工程师,6-8千/月,大连首创科技有限公司,大连-高新园区,无工作经验,招3人,民营公司,50-150人
Java开发实习生双休,4.5-6千/月,长春中软卓越科技有限公司,长春-朝阳区,无工作经验,大专,上市公司,50-150人
招聘软件开发程序员delphi java .net,4.5-8.5千/月,沈阳市沈河区任我行软件销售中心,沈阳,2年经验,大专,民营公司,少于50人
Java开发工程师,0.8-2.5万/月,上海图丽信息技术有限公司,上海-浦东新区,3-4年经验,本科,民营公司,150-500人
高级Java工程师,15-25万/年,上海宝康电子控制工程有限公司,上海-宝山区,3-4年经验,本科,国企,150-500人
Java开发工程师,6-8千/月,深圳市赢电科技有限公司,深圳-龙岗区,无工作经验,大专,民营公司,150-500人
java游戏开发,4.5-6千/月,成都乐乐村庄网络科技有限公司,成都-锦江区,无工作经验,招若干人,民营公司,150-500人
Java工程师（物联网平台）,0.7-1.2万/月,浙江索思科技有限公司,杭州-余杭区,3-4年经验,大专,民营公司,50-150人
